user-id,isbn,book-rating
276847,3442413508,5
276847,3442448530,4
276847,3453870190,1
276929,0060964049,1
276929,2264029463,1
276929,2907572121,1
276939,0140187758,1
276939,2253063339,5
276964,0515131520,3
276964,0886773741,4
277036,0812511816,5
277036,0880381744,5
277051,0330262130,5
277051,0385720920,5
277051,0805062971,1
277157,0060094117,1
277157,0312874243,1
277157,0312979517,3
277157,0316154059,3
277157,0345450175,3
277157,0345452550,4
277157,0380731851,1
277157,0399147101,4
277157,0399147322,1
277157,0399151451,4
277157,0425183181,3
277157,0446519480,1
277157,0671024094,4
277168,0380726246,1
277168,0722509049,1
277168,0812516001,1
277171,0486282406,5
277171,0553299506,1
277187,0553281089,1
277187,080505622X,1
277195,0375406328,1
277195,0375724672,1
277195,0394569652,1
277195,042511774X,1
277195,0440214424,1
277195,0449134482,1
277195,0553273604,1
277195,0671021001,5
277195,0743458036,1
277195,0871313073,1
277195,1573220779,1
277195,158243011X,1
277378,0380731851,1
277378,0385474016,1
277378,0670894494,1
277378,0671028375,1
277378,0671646575,3
277427,0060002050,1
277427,0060913509,1
277427,0060934417,1
277427,0061009059,5
277427,0140067477,1
277427,0140067841,1
277427,0140185151,1
277427,014039026X,4
277427,0142001740,1
277427,0312966091,1
277427,0316776963,4
277427,0345338545,1
277427,0345361792,1
277427,0345413903,5
277427,0345436911,1
277427,0380707551,1
277427,0380710218,1
277427,0380718332,1
277427,0385323816,1
277427,0385482388,1
277427,0385486804,5
277427,038548951X,1
277427,0385503857,5
277427,0399526145,1
277427,0425115801,1
277427,0440113423,1
277427,0440224764,4
277427,0451177096,1
277427,0451191153,4
277427,0451202503,1
277427,0471018732,5
277427,0517883384,1
277427,0553133160,1
277427,0553232266,1
277427,0553279556,1
277427,0553586122,1
277427,0609804138,1
277427,0671001795,1
277427,0679459626,1
277427,0679731148,5
277427,0679765018,1
277427,0684864320,1
277427,0684866048,1
277427,0743406176,4
277427,0811811409,5
277427,0842314296,1
277427,0898794544,4
277427,0932592007,4
277427,1400034779,1
277427,1562923668,5
277436,0590629786,5
277436,0590629794,5
277436,0590629808,5
277466,0553279556,1
277466,0553571885,4
277466,0671003755,1
277478,006008216X,3
277478,006105481X,1
277478,0061099252,1
277478,0226244954,1
277478,0345443284,1
277478,0380703882,1
277478,0440975964,1
277478,0449907481,1
277478,0553578944,1
277478,0671003755,1
277478,0671888587,1
277478,0679761047,1
277523,0345452577,5
277523,0743206045,5
277523,1558744150,5
277562,0571200389,1
277562,0571212018,3
277623,0312290659,5
277623,0786890436,2
277639,0061081671,1
277639,0373290578,1
277639,0380731851,3
